iter	Passed	Remaining
207	2599	9896
208	2604	9855
209	2618	9852
210	2631	9839
211	2650	9850
212	2665	9847
213	2670	9808
214	2687	9811
215	2698	9794
216	2711	9784
217	2728	9787
218	2745	9790
219	2757	9777
220	2768	9757
221	2778	9738
222	2791	9726
223	2798	9694
224	2805	9663
225	2815	9641
226	2816	9592
227	2828	9576
228	2847	9585
229	2858	9570
230	2864	9535
231	2869	9498
232	2883	9492
233	2895	9479
234	2911	9477
235	2925	9469
236	2935	9452
237	2943	9423
238	2956	9412
239	2973	9417
240	2980	9385
241	2990	9366
242	3000	9348
243	3017	9348
244	3041	9371
245	3060	9381
246	3078	9385
247	3092	9375
248	3102	9356
249	3124	9372
250	3146	9390
251	3163	9389
252	3184	9401
253	3208	9422
254	3223	9418
255	3234	9400
256	3247	9387
257	3254	9360
258	3262	9334
259	3273	9317
260	3290	9317
261	3307	9315
262	3319	9303
263	3332	9290
264	3341	9267
265	3352	9251
266	3367	9243
267	3376	9221
268	3386	9201
269	3402	9198
270	3412	9179
271	3425	9169
272	3435	9149
273	3454	9152
274	3471	9152
275	3483	9136
276	3493	9117
277	3511	9119
278	3527	9116
279	3538	9099
280	3549	9082
281	3560	9065
282	3571	9047
283	3590	9053
284	3600	9033
285	3607	9006
286	3612	8974
287	3626	8965
288	3638	8950
289	3646	8928
290	3658	8913
291	3667	8892
292	3676	8870
293	3685	8850
294	3693	8826
295	3707	8818
296	3712	8788
297	3719	8761
298	3730	8746
299	3746	8742
300	3753	8716
301	3767	8707
302	3779	8693
303	3790	8678
304	3811	8685
305	3817	8657
306	3825	8635
307	3829	8604
308	3838	8584
309	3852	8574
310	3865	8563
311	3883	8563
312	3891	8541
313	3899	8520
314	3911	8506
315	3931	8510
316	3944	8498
317	3949	8470
318	3959	8452
319	3970	8436
320	3988	8436
321	3999	8421
322	4006	8398
323	4013	8374
324	4019	8348
325	4028	8328
326	4037	8308
327	4047	8292
328	4058	8278
329	4065	8254
330	4074	8235
331	4086	8222
332	4092	8196
333	4097	8170
334	4103	8146
335	4114	8131
336	4127	8120
337	4145	8118
338	4155	8102
339	4171	8098
340	4183	8085
341	4197	8076
342	4224	8091
343	4233	8074
344	4240	8050
345	4248	8030
346	4256	8010
347	4268	7998
348	4277	7979
349	4291	7970
350	4306	7963
351	4319	7951
352	4337	7950
353	4352	7942
354	4363	7928
355	4372	7910
356	4386	7901
357	4400	7890
358	4413	7880
359	4422	7861
360	4431	7844
361	4446	7836
362	4456	7819
363	4465	7802
364	4485	7803
365	4499	7795
366	4513	7784
367	4530	7780
368	4542	7767
369	4558	7761
370	4585	7774
371	4604	7773
372	4625	7775
373	4658	7796
374	4673	7788
375	4697	7795
376	4708	7781
377	4727	7779
378	4743	7773
379	4758	7763
380	4773	7754
381	4783	7739
382	4804	7739
383	4818	7730
384	4831	7718
385	4850	7714
386	4863	7703
387	4874	7688
388	4890	7681
389	4904	7670
390	4921	7665
391	4929	7646
392	4946	7639
393	4958	7626
394	4971	7615
395	4984	7602
396	4992	7582
397	5008	7576
398	5027	7572
399	5037	7556
400	5050	7544
401	5063	7532
402	5076	7519
403	5083	7499
404	5095	7486
405	5103	7466
406	5118	7457
407	5130	7444
408	5147	7438
409	5162	7429
410	5170	7409
411	5175	7386
412	5183	7367
413	5207	7371
414	5215	7351
415	5236	7351
416	5250	7341
417	5263	7328
418	5274	7313
419	5293	7309
420	5305	7296
421	5325	7293
422	5337	7280
423	5353	7272
424	5367	7261
425	5381	7251
426	5393	7238
427	5403	7221
428	5414	7207
429	5421	7186
430	5432	7171
431	5445	7160
432	5455	7143
433	5462	7123
434	5470	7105
435	5486	7096
436	5494	7079
437	5509	7069
438	5527	7064
439	5537	7047
440	5547	7032
441	5563	7023
442	5585	7022
443	5595	7006
444	5605	6990
445	5613	6973
446	5623	6957
447	5631	6939
448	5644	6927
449	5657	6915
450	5667	6898
451	5681	6888
452	5690	6871
453	5705	6861
454	5712	6842
455	5720	6824
456	5730	6808
457	5737	6790
458	5744	6770
459	5756	6757
460	5771	6747
461	5786	6738
462	5801	6728
463	5808	6710
464	5818	6694
465	5825	6675
466	5833	6657
467	5844	6643
468	5860	6635
469	5871	6621
470	5881	6605
471	5893	6592
472	5902	6576
473	5916	6565
474	5927	6551
475	5936	6534
476	5944	6518
477	5954	6502
478	5959	6482
479	5975	6473
480	5989	6462
481	5995	6443
482	6011	6434
483	6019	6417
484	6027	6400
485	6032	6380
486	6038	6360
487	6046	6344
488	6052	6324
489	6064	6312
490	6077	6299
491	6085	6283
492	6095	6268
493	6102	6251
494	6111	6234
495	6118	6217
496	6127	6201
497	6141	6190
498	6152	6177
499	6161	6161
